id_filma,zanr
0080549,drama
0080549,music
0081150,comedy
0081150,drama
0080716,drama
0080716,music
0080716,musical
0082971,action
0082971,adventure
0082736,drama
0082846,drama
0082010,comedy
0082010,horror
0082484,adventure
0082484,drama
0082979,biography
0082979,drama
0082979,history
0082158,biography
0082158,drama
0082158,sport
0082031,comedy
0082031,romance
0083922,drama
0083987,biography
0083987,drama
0083987,history
0083866,adventure
0083866,family
0083866,sci-fi
0084335,biography
0084335,drama
0084335,history
0084865,comedy
0084865,music
0084865,romance
0084707,drama
0084707,romance
0084805,comedy
0084805,drama
0084805,romance
0082443,documentary
0082443,drama
0082443,history
0084434,drama
0084434,romance
0086617,drama
0086617,romance
0086617,war
0084874,drama
0086190,action
0086190,adventure
0086190,fantasy
0086197,adventure
0086197,biography
0086197,drama
0086425,comedy
0086425,drama
0086423,drama
0086423,music
0086619,drama
0086619,musical
0086619,romance
0085549,drama
0085549,music
0085549,romance
0085655,documentary
0085655,family
0086879,biography
0086879,drama
0086879,music
0088275,documentary
0088275,biography
0088275,history
0087553,biography
0087553,drama
0087553,history
0087469,action
0087469,adventure
0087921,drama
0087892,adventure
0087892,drama
0087892,history
0087144,drama
0087144,sport
0087144,thriller
0087957,drama
0087957,music
0087957,romance
0088007,drama
0088414,comedy
0088414,romance
0088763,adventure
0088763,comedy
0088763,sci-fi
0089881,action
0089881,drama
0089881,war
0089276,drama
0089276,history
0090329,drama
0090329,romance
0090329,thriller
0090203,drama
0089424,drama
0089560,biography
0089560,drama
0091867,drama
0091867,romance
0089755,biography
0089755,drama
0089755,romance
0088740,documentary
0088740,biography
0088740,music
0088933,comedy
0088933,drama
0088933,sci-fi
0089841,comedy
0089841,crime
0089841,drama
0088857,documentary
0088857,history
0090319,drama
0090319,music
0090605,action
0090605,adventure
0090605,sci-fi
0091763,drama
0091763,war
0091167,comedy
0091167,drama
0091064,drama
0091064,horror
0091064,sci-fi
0091530,adventure
0091530,drama
0091530,history
0090557,drama
0090557,music
0090830,drama
0090830,romance
0090576,drama
0090576,history
0090576,romance
0090863,drama
0090863,sport
0092099,action
0092099,drama
0094226,crime
0094226,drama
0094226,thriller
0092603,drama
0093713,drama
0093389,biography
0093389,drama
0093389,history
0093870,action
0093870,crime
0093870,sci-fi
0094291,crime
0094291,drama
0093565,comedy
0093565,drama
0093565,romance
0092890,drama
0092890,music
0092890,romance
0093260,action
0093260,adventure
0093260,comedy
0093148,comedy
0093148,family
0093148,fantasy
0095765,drama
0095765,romance
0095953,drama
0095647,crime
0095647,drama
0095647,mystery
0096438,animation
0096438,adventure
0096438,comedy
0095341,documentary
0095341,biography
0095341,history
